"variable.num" "variable.name" "value"
"1" "1" "subject_id_001" "1"
"2" "1" "subject_id_001" "2"
"3" "1" "subject_id_001" "3"
"4" "1" "subject_id_001" "4"
"5" "1" "subject_id_001" "5"
"6" "1" "subject_id_001" "6"
"7" "1" "subject_id_001" "7"
"8" "1" "subject_id_001" "8"
"9" "1" "subject_id_001" "9"
"10" "1" "subject_id_001" "10"
"11" "1" "subject_id_001" "11"
"12" "1" "subject_id_001" "12"
"13" "1" "subject_id_001" "13"
"14" "1" "subject_id_001" "14"
"15" "1" "subject_id_001" "15"
"16" "1" "subject_id_001" "16"
"17" "1" "subject_id_001" "17"
"18" "1" "subject_id_001" "18"
"19" "1" "subject_id_001" "19"
"20" "1" "subject_id_001" "20"
"21" "1" "subject_id_001" "21"
"22" "1" "subject_id_001" "22"
"23" "1" "subject_id_001" "23"
"24" "1" "subject_id_001" "24"
"25" "1" "subject_id_001" "25"
"26" "1" "subject_id_001" "26"
"27" "1" "subject_id_001" "27"
"28" "1" "subject_id_001" "28"
"29" "1" "subject_id_001" "29"
"30" "1" "subject_id_001" "30"
"31" "2" "activity_id_002" "laying"
"32" "2" "activity_id_002" "sitting"
"33" "2" "activity_id_002" "standing"
"34" "2" "activity_id_002" "walking"
"35" "2" "activity_id_002" "walking_downstairs"
"36" "2" "activity_id_002" "walking_upstairs"
"37" "3" "variable" "tBodyAcc-mean()-X_003"
"38" "3" "variable" "tBodyAcc-mean()-Y_004"
"39" "3" "variable" "tBodyAcc-mean()-Z_005"
"40" "3" "variable" "tBodyAcc-std()-X_006"
"41" "3" "variable" "tBodyAcc-std()-Y_007"
"42" "3" "variable" "tBodyAcc-std()-Z_008"
"43" "3" "variable" "tBodyAcc-mad()-X_009"
"44" "3" "variable" "tBodyAcc-mad()-Y_010"
"45" "3" "variable" "tBodyAcc-mad()-Z_011"
"46" "3" "variable" "tBodyAcc-max()-X_012"
"47" "3" "variable" "tBodyAcc-max()-Y_013"
"48" "3" "variable" "tBodyAcc-max()-Z_014"
"49" "3" "variable" "tBodyAcc-min()-X_015"
"50" "3" "variable" "tBodyAcc-min()-Y_016"
"51" "3" "variable" "tBodyAcc-min()-Z_017"
"52" "3" "variable" "tBodyAcc-sma()_018"
"53" "3" "variable" "tBodyAcc-energy()-X_019"
"54" "3" "variable" "tBodyAcc-energy()-Y_020"
"55" "3" "variable" "tBodyAcc-energy()-Z_021"
"56" "3" "variable" "tBodyAcc-iqr()-X_022"
"57" "3" "variable" "tBodyAcc-iqr()-Y_023"
"58" "3" "variable" "tBodyAcc-iqr()-Z_024"
"59" "3" "variable" "tBodyAcc-entropy()-X_025"
"60" "3" "variable" "tBodyAcc-entropy()-Y_026"
"61" "3" "variable" "tBodyAcc-entropy()-Z_027"
"62" "3" "variable" "tBodyAcc-arCoeff()-X,1_028"
"63" "3" "variable" "tBodyAcc-arCoeff()-X,2_029"
"64" "3" "variable" "tBodyAcc-arCoeff()-X,3_030"
"65" "3" "variable" "tBodyAcc-arCoeff()-X,4_031"
"66" "3" "variable" "tBodyAcc-arCoeff()-Y,1_032"
"67" "3" "variable" "tBodyAcc-arCoeff()-Y,2_033"
"68" "3" "variable" "tBodyAcc-arCoeff()-Y,3_034"
"69" "3" "variable" "tBodyAcc-arCoeff()-Y,4_035"
"70" "3" "variable" "tBodyAcc-arCoeff()-Z,1_036"
"71" "3" "variable" "tBodyAcc-arCoeff()-Z,2_037"
"72" "3" "variable" "tBodyAcc-arCoeff()-Z,3_038"
"73" "3" "variable" "tBodyAcc-arCoeff()-Z,4_039"
"74" "3" "variable" "tBodyAcc-correlation()-X,Y_040"
"75" "3" "variable" "tBodyAcc-correlation()-X,Z_041"
"76" "3" "variable" "tBodyAcc-correlation()-Y,Z_042"
"77" "3" "variable" "tGravityAcc-mean()-X_043"
"78" "3" "variable" "tGravityAcc-mean()-Y_044"
